t_s z_m c_kg_per_m3 X_kg_per_kg
1.503759398496240465e+02 6.400000000000000133e-01 2.965529551773177569e-05 8.057371324686330347e-07
1.503759398496240465e+02 6.500000000000000222e-01 2.900525921624593200e-05 7.716255302610424446e-07
1.503759398496240465e+02 6.600000000000000311e-01 2.838116895487254482e-05 7.395385171866995451e-07
1.503759398496240465e+02 6.700000000000000400e-01 2.778155999012153825e-05 7.093237006996341032e-07
1.503759398496240465e+02 6.800000000000000488e-01 2.720507277194170265e-05 6.808424415698376180e-07
1.503759398496240465e+02 6.900000000000000577e-01 2.665044387043678179e-05 6.539684176728645508e-07
1.503759398496240465e+02 7.000000000000000666e-01 2.611649780911806342e-05 6.285863571166190323e-07
1.503759398496240465e+02 7.099999999999999645e-01 2.560213970234691958e-05 6.045909185620564256e-07
1.503759398496240465e+02 7.199999999999999734e-01 2.510634860744457404e-05 5.818856997622939647e-07
1.503759398496240465e+02 7.299999999999999822e-01 2.462817151301005455e-05 5.603823580223750336e-07
1.503759398496240465e+02 7.399999999999999911e-01 2.416671789455214617e-05 5.399998285496567553e-07
1.503759398496240465e+02 7.500000000000000000e-01 2.372115477683127671e-05 5.206636285915547178e-07
1.503759398496240465e+02 7.600000000000000089e-01 2.329070224950344721e-05 5.023052368970243879e-07
1.503759398496240465e+02 7.700000000000000178e-01 2.287462938891672153e-05 4.848615394370367469e-07
1.503759398496240465e+02 7.800000000000000266e-01 2.247225054436769037e-05 4.682743335155557538e-07
1.503759398496240465e+02 7.900000000000000355e-01 2.208292195188807301e-05 4.524898834274162627e-07
1.503759398496240465e+02 8.000000000000000444e-01 2.170603864279868302e-05 4.374585216998498912e-07
1.503759398496240465e+02 8.100000000000000533e-01 2.134103161791798140e-05 4.231342907113516120e-07
1.503759398496240465e+02 8.200000000000000622e-01 2.098736526151455059e-05 4.094746201346061914e-07
1.503759398496240465e+02 8.300000000000000711e-01 2.064453497190834986e-05 3.964400362140633244e-07
1.503759398496240465e+02 8.399999999999999689e-01 2.031206498810100904e-05 3.839938993765491268e-07
1.503759398496240465e+02 8.499999999999999778e-01 1.998950639399982033e-05 3.721021670965254686e-07
